,Plant Name,Temperature,Humidity,PH,CO2,LIGHT,Light Hours,EC,Soilless Medium,Nutrient Mix,Week
0,Arugula,58.8,74.5,7.2,547.1,1,0.9,0.9,Mix water,NPk and MgSO4,1
1,Arugula,62.4,77.1,6.6,597.3,2,1.2,0.9,rockwool,NPk and MgSO4,5
2,Arugula,65.6,88.2,7,623.9,1,1.1,1,coco coir,Nitrogen,5
3,Arugula,69.2,84.7,6.9,474.7,2,1.1,1.3,coco coir,Nitrogen,1
4,Arugula,70,85.7,7.3,436.2,2,1.3,1.3,rockwool,NPK,1
5,Arugula,50,79.9,6,485.9,3,1.2,0.8,Mix water,CaNO3 and NPK ,1
6,Arugula,65.4,77.7,7.2,474.1,1,0.9,1.1,Mix water,NPK,3
7,Arugula,53.6,88.7,6,671.2,4,1.3,1.3,Mix water,calcium and potassium,3
8,Arugula,52.9,72.2,6,677.9,3,1.3,1.3,coco coir,NPK,5
9,Arugula,70.5,77.3,6.9,444.3,1,1.3,0.8,coco coir,NPK,8
10,Arugula,61.5,78.7,7.4,475.2,3,0.9,1.3,coco coir,NPk and MgSO4,8
11,Arugula,54.5,80.3,6.3,695.2,1,0.8,1.1,coco coir,NPk and MgSO4,7
12,Arugula,64,76.2,7.1,449.8,1,1.1,0.9,rockwool,CaNO3 and NPK ,2
13,Arugula,70.1,83,6.2,457.7,1,1.3,1.2,Mix water,calcium and potassium,6
14,Arugula,66.8,77.1,6.1,455.2,4,1.3,1.2,Mix water,calcium and potassium,5
15,Arugula,59.3,72.2,6.6,496.2,3,1,0.9,coco coir,NPK,1
16,Arugula,55.7,75.9,7,653.3,1,1.2,1.2,coco coir,CaNO3 and NPK ,8
17,Arugula,61,74.7,6.7,471.4,4,1.3,1.3,rockwool,CaNO3 and NPK ,1
18,Arugula,52.3,79.2,6.7,533.6,3,1.1,1.1,coco coir,Nitrogen,1
19,Arugula,69.1,71,6.6,505,4,1.2,0.8,Mix water,Nitrogen,7
20,Arugula,50.2,79.8,7.2,450.3,3,1.1,1.1,coco coir,Nitrogen,1
21,Arugula,71.7,70,7.4,605.7,2,1,1,rockwool,NPk and MgSO4,6
22,Arugula,56.9,78.5,7,500.4,3,1.3,1.3,coco coir,CaNO3 and NPK ,7
23,Arugula,67.9,74.6,7,672.8,2,1.3,1.1,Mix water,NPK,7
24,Arugula,71.9,80.4,6.8,509.7,3,1.2,0.8,Mix water,CaNO3 and NPK ,8
25,Arugula,51.4,75.6,7.3,595.3,2,0.8,1,rockwool,Nitrogen,2
26,Arugula,53.9,89.8,7,450.5,3,1.3,1.3,coco coir,Nitrogen,7
27,Arugula,52.5,84.7,6.8,679.3,3,1.3,0.8,Mix water,NPK,8
28,Arugula,69,83,6.9,673.2,1,1.3,1.3,rockwool,NPK,2
29,Arugula,65,74.4,7.1,423.9,1,1,1.1,coco coir,Nitrogen,1
30,Arugula,58,77.1,6.8,505.2,3,0.8,1.2,rockwool,CaNO3 and NPK ,3
31,Arugula,71.5,82.1,7.4,639.2,4,1.3,1.3,Mix water,calcium and potassium,3
32,Arugula,54.4,85.2,7.4,497.6,3,1,0.8,rockwool,calcium and potassium,5
33,Arugula,52.5,79.4,7,559.7,3,1.2,1.3,Mix water,CaNO3 and NPK ,2
34,Arugula,67.8,87.9,6.8,598,3,1.3,0.8,rockwool,CaNO3 and NPK ,7
35,Arugula,61.6,70.5,7,676.5,2,1.2,1.3,coco coir,Nitrogen,3
36,Arugula,69.5,84.8,6.4,632.4,3,1,0.8,coco coir,NPK,7
37,Arugula,64.9,76.2,6,651.8,4,0.9,0.8,Mix water,NPk and MgSO4,1
38,Arugula,66.1,85.5,6.2,452,3,1,1.3,coco coir,NPk and MgSO4,7
39,Arugula,62,70.5,6.7,695.9,4,1.2,1.3,Mix water,NPk and MgSO4,4
40,Arugula,68.6,82.5,7.2,422.9,4,0.8,1.3,rockwool,NPK,8
41,Arugula,60.9,76.6,6.1,605.4,4,0.8,1.1,coco coir,NPk and MgSO4,8
42,Arugula,66.4,85,6.2,688.6,2,1.3,1,Mix water,calcium and potassium,5
43,Arugula,72.2,86.6,6.5,544.9,3,1.3,1.2,Mix water,Nitrogen,2
44,Arugula,51.7,89,6.6,483.5,1,1.1,1.3,rockwool,NPk and MgSO4,5
45,Arugula,57.7,76.7,6,598.7,1,1.2,1,Mix water,calcium and potassium,8
46,Arugula,65,76.6,6.8,594.1,1,1,1.3,rockwool,Nitrogen,4
47,Arugula,56.1,87.9,6.5,679.8,4,0.9,1.3,coco coir,NPk and MgSO4,6
48,Arugula,70,74.9,6.6,600.1,4,0.8,1.2,coco coir,Nitrogen,6
49,Arugula,68.1,83.8,7,612.9,4,1.2,1,Mix water,Nitrogen,6
50,Arugula,69.1,77.2,6.3,576.3,4,1.2,1.2,coco coir,calcium and potassium,2
51,Arugula,67.2,74.2,6.8,469.3,4,1.3,1.2,Mix water,NPK,3
52,Arugula,73.4,74.6,6.9,410.2,3,0.9,1,rockwool,Nitrogen,2
